"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2016","52.71","53.67","53.67","52.44","2.88M","-2.39%"
"10/10/2016","54.00","53.47","54.03","52.97","1.23M","0.93%"
"10/07/2016","53.50","54.15","54.15","52.97","1.97M","-1.11%"
"10/06/2016","54.10","54.79","55.05","54.10","1.85M","-1.17%"
"10/05/2016","54.74","53.91","54.85","53.43","1.63M","0.42%"
"10/04/2016","54.51","53.39","54.66","53.24","1.74M","2.06%"
"10/03/2016","53.41","53.51","53.67","53.03","741.27K","-0.19%"
"09/30/2016","53.51","52.49","53.77","51.88","2.25M","1.02%"
"09/29/2016","52.97","52.66","53.06","52.57","1.29M","1.11%"
"09/28/2016","52.39","52.07","52.88","52.07","1.55M","1.10%"
"09/27/2016","51.82","52.45","52.59","51.26","1.51M","-0.67%"
"09/26/2016","52.17","53.13","53.13","52.08","1.83M","-2.45%"
"09/23/2016","53.48","53.27","53.75","53.22","1.44M","0.17%"
"09/22/2016","53.39","52.84","54.07","52.64","2.09M","2.03%"
"09/21/2016","52.33","52.72","53.00","52.28","1.19M","0.35%"
"09/20/2016","52.15","52.52","52.93","52.11","1.12M","-0.67%"
"09/19/2016","52.50","52.62","52.83","51.90","1.68M","0.46%"
"09/16/2016","52.26","52.33","52.96","51.86","4.02M","-0.44%"
"09/15/2016","52.49","52.68","52.76","51.93","2.26M","-0.47%"
"09/14/2016","52.74","54.01","54.06","52.58","2.05M","-1.40%"
"09/13/2016","53.49","54.53","54.72","53.49","1.55M","-1.26%"
"09/12/2016","54.17","54.42","54.66","53.55","2.30M","-2.03%"
"09/09/2016","55.29","55.00","55.70","54.83","2.33M","0.24%"
"09/08/2016","55.16","54.22","55.19","54.21","2.85M","1.36%"
"09/07/2016","54.42","54.17","54.42","53.59","1.70M","0.65%"
"09/06/2016","54.07","53.97","54.50","53.73","2.20M","1.01%"
"09/05/2016","53.53","53.10","53.61","52.83","1.47M","1.27%"
"09/02/2016","52.86","51.72","52.99","51.60","1.85M","2.58%"
"09/01/2016","51.53","52.16","52.51","51.40","1.61M","-0.85%"
"08/31/2016","51.97","51.31","52.58","51.28","2.23M","1.64%"
"08/30/2016","51.13","51.18","51.72","51.10","1.51M","0.27%"
"08/29/2016","50.99","50.60","51.02","50.31","895.22K","0.51%"
"08/26/2016","50.73","50.24","51.11","50.05","1.13M","0.98%"
"08/25/2016","50.24","50.74","50.83","49.85","1.17M","-1.30%"
"08/24/2016","50.90","50.19","51.12","49.69","1.25M","1.21%"
"08/23/2016","50.29","49.71","50.75","49.69","1.39M","1.25%"
"08/22/2016","49.67","49.69","50.07","49.32","1.70M","0.22%"
"08/19/2016","49.56","49.69","49.82","49.20","1.91M","-0.26%"
"08/18/2016","49.69","49.75","50.06","49.50","2.30M","-1.37%"
"08/17/2016","50.38","51.18","51.37","50.32","1.44M","-1.56%"
"08/16/2016","51.18","51.82","51.82","50.69","1.70M","-1.50%"
"08/15/2016","51.96","51.90","52.35","51.58","914.11K","0.48%"
"08/12/2016","51.71","51.52","51.87","51.40","1.10M","0.37%"
"08/11/2016","51.52","51.20","51.52","50.45","1.29M","1.24%"
"08/10/2016","50.89","50.66","51.29","50.55","1.28M","0.20%"
"08/09/2016","50.79","50.10","50.86","50.04","2.09M","1.52%"
"08/08/2016","50.03","50.27","50.54","49.79","1.46M","-1.30%"
"08/05/2016","50.69","50.36","50.93","49.89","1.86M","0.80%"
"08/04/2016","50.29","50.44","50.90","50.01","1.29M","0.28%"
"08/03/2016","50.15","51.08","51.18","49.81","2.07M","-1.57%"
"08/02/2016","50.95","51.65","51.93","50.79","1.45M","-1.89%"
"08/01/2016","51.93","52.58","53.09","51.66","1.48M","-0.73%"
"07/29/2016","52.31","53.41","53.52","51.93","2.12M","-1.75%"
"07/28/2016","53.24","53.68","53.96","53.11","2.17M","-0.80%"
"07/27/2016","53.67","52.53","54.37","52.05","3.33M","4.46%"
"07/26/2016","51.38","50.43","51.56","50.37","1.79M","1.20%"
"07/25/2016","50.77","50.25","51.02","49.89","2.16M","-0.63%"
"07/22/2016","51.09","51.43","51.80","50.71","2.07M","-1.16%"
"07/21/2016","51.69","52.43","52.49","51.30","1.68M","-1.73%"
"07/20/2016","52.60","52.29","52.99","51.89","1.59M","1.25%"
"07/19/2016","51.95","51.75","52.12","51.29","1.43M","0.13%"
"07/18/2016","51.88","52.24","52.90","51.65","1.28M","-0.78%"
"07/15/2016","52.29","52.74","52.95","52.04","1.68M","-1.43%"
"07/14/2016","53.05","53.17","53.63","51.98","2.18M","0.47%"
"07/13/2016","52.80","51.60","53.47","50.36","3.39M","1.75%"
"07/12/2016","51.89","50.20","52.38","50.14","2.99M","4.01%"
"07/11/2016","49.89","49.51","50.27","49.32","2.92M","2.38%"
"07/08/2016","48.73","48.39","49.21","47.89","2.53M","-0.04%"
"07/07/2016","48.75","48.35","49.49","48.35","1.79M","1.20%"
"07/06/2016","48.17","49.20","49.38","47.78","2.94M","-2.63%"
"07/05/2016","49.47","50.45","50.73","49.10","2.56M","-2.96%"
"07/04/2016","50.98","51.50","51.69","50.71","983.12K","-0.37%"
"07/01/2016","51.17","51.54","51.80","50.54","1.83M","-0.47%"
"06/30/2016","51.41","51.24","52.17","50.97","2.82M","-0.39%"
"06/29/2016","51.61","51.35","51.75","50.95","2.13M","1.59%"
"06/28/2016","50.80","50.33","51.38","49.93","2.48M","2.40%"
"06/27/2016","49.61","51.19","52.22","49.21","4.76M","-4.21%"
"06/24/2016","51.79","49.69","53.17","49.69","7.03M","-6.16%"
"06/23/2016","55.19","54.63","55.98","54.48","2.36M","1.98%"
"06/22/2016","54.12","54.32","54.65","53.90","1.84M","0.17%"
