"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","170.45","170.45","170.58","169.38","853.02K","-1.09%"
"04/04/2024","172.33","174.36","174.44","172.20","524.33K","-1.18%"
"04/03/2024","174.38","174.05","174.38","172.60","719.12K","0.21%"
"04/02/2024","174.02","175.55","176.67","173.49","667.96K","-0.74%"
"03/28/2024","175.31","175.91","176.53","175.02","670.66K","-0.25%"
"03/27/2024","175.75","175.09","176.35","174.33","419.54K","0.45%"
"03/26/2024","174.96","173.84","175.18","173.29","494.91K","0.64%"
"03/25/2024","173.84","173.76","174.47","172.95","532.09K","0.39%"
"03/22/2024","173.16","174.33","174.75","171.56","972.52K","-1.66%"
"03/21/2024","176.09","177.82","177.98","174.98","607.69K","-0.67%"
"03/20/2024","177.27","177.58","177.89","176.78","439.37K","-0.12%"
"03/19/2024","177.49","175.78","177.67","175.31","380.71K","0.61%"
"03/18/2024","176.42","177.07","177.31","175.56","382.66K","-0.55%"
"03/15/2024","177.40","177.69","179.47","177.40","1.44M","-0.08%"
"03/14/2024","177.55","177.67","178.25","176.96","674.92K","0.26%"
"03/13/2024","177.09","176.64","177.58","176.44","557.33K","0.45%"
"03/12/2024","176.29","176.27","176.93","175.31","579.84K","0.56%"
"03/11/2024","175.31","175.09","175.58","173.91","466.63K","-0.42%"
"03/08/2024","176.05","176.27","176.36","175.40","584.36K","0.15%"
"03/07/2024","175.78","172.56","176.49","172.45","687.93K","1.35%"
"03/06/2024","173.44","172.60","173.60","172.04","518.00K","0.67%"
"03/05/2024","172.29","172.95","174.04","171.82","496.33K","-0.30%"
"03/04/2024","172.80","170.58","172.93","170.51","410.22K","1.68%"
"03/01/2024","169.95","170.64","171.05","169.29","400.76K","-0.51%"
"02/29/2024","170.82","171.82","172.02","170.64","1.12M","-0.43%"
"02/28/2024","171.56","171.75","172.09","170.51","423.11K","-0.33%"
"02/27/2024","172.13","172.58","173.20","171.82","489.73K","-0.21%"
"02/26/2024","172.49","172.27","172.91","171.89","600.49K","0.13%"
"02/23/2024","172.27","169.09","172.89","169.09","753.36K","2.20%"
"02/22/2024","168.56","169.05","169.64","167.15","659.21K","0.01%"
"02/21/2024","168.55","167.22","168.67","165.42","826.95K","-0.24%"
"02/20/2024","168.96","162.51","169.11","162.47","1.83M","8.26%"
"02/19/2024","156.07","155.56","156.55","154.78","466.42K","0.33%"
"02/16/2024","155.55","154.55","155.55","153.55","796.70K","1.11%"
"02/15/2024","153.84","154.64","154.93","152.93","692.31K","-0.38%"
"02/14/2024","154.42","153.18","154.42","153.13","449.95K","0.87%"
"02/13/2024","153.09","153.64","153.64","151.95","461.21K","0.12%"
"02/12/2024","152.91","153.18","153.44","152.11","408.27K","0.43%"
"02/09/2024","152.25","152.25","153.35","151.91","559.31K","0.00%"
"02/08/2024","152.25","155.60","155.62","152.25","713.23K","-1.79%"
"02/07/2024","155.02","155.82","156.36","155.02","499.57K","-0.79%"
"02/06/2024","156.25","153.45","156.29","152.65","882.61K","2.39%"
"02/05/2024","152.60","155.45","156.22","150.62","1.10M","-2.01%"
"02/02/2024","155.73","158.13","158.35","155.42","525.55K","-1.09%"
"02/01/2024","157.45","157.69","158.00","156.67","425.71K","-0.28%"
"01/31/2024","157.89","157.47","158.65","157.42","740.83K","0.34%"
"01/30/2024","157.35","156.91","157.67","156.00","402.93K","0.47%"
"01/29/2024","156.62","155.82","156.80","155.51","491.49K","0.47%"
"01/26/2024","155.89","156.02","157.07","155.56","692.02K","-0.21%"
"01/25/2024","156.22","156.75","157.75","154.82","587.44K","-0.36%"
"01/24/2024","156.78","154.40","157.13","154.35","652.29K","1.59%"
"01/23/2024","154.33","157.07","157.18","154.04","613.31K","-1.73%"
"01/22/2024","157.05","158.05","158.42","155.11","631.43K","-0.15%"
"01/19/2024","157.29","159.93","160.67","156.84","649.47K","-1.21%"
"01/18/2024","159.22","157.91","160.00","157.51","598.20K","0.78%"
"01/17/2024","157.98","158.60","158.62","157.09","607.10K","-1.03%"
"01/16/2024","159.62","158.62","159.76","157.89","489.10K","0.06%"
"01/15/2024","159.53","160.25","160.29","159.02","311.54K","-0.09%"
"01/12/2024","159.67","158.25","160.27","158.13","657.42K","1.67%"
"01/11/2024","157.05","157.22","158.53","156.82","626.25K","0.76%"
"01/10/2024","155.87","155.82","156.47","154.93","409.01K","0.28%"
"01/09/2024","155.44","155.73","155.78","154.76","431.00K","-0.15%"
"01/08/2024","155.67","154.76","155.82","154.36","419.87K","0.33%"
"01/05/2024","155.16","155.45","156.00","153.96","519.43K","-0.81%"
"01/04/2024","156.42","156.09","156.65","155.60","565.26K","0.06%"
"01/03/2024","156.33","158.78","158.85","155.53","683.42K","-1.68%"
"01/02/2024","159.00","160.89","161.65","156.96","562.47K","-0.69%"
"12/29/2023","160.11","160.47","160.98","160.02","327.98K","-0.04%"
"12/28/2023","160.18","160.98","161.35","160.04","304.96K","-0.35%"
"12/27/2023","160.75","161.16","161.71","160.49","340.94K","-0.30%"
"12/22/2023","161.24","160.91","161.96","160.67","365.25K","0.35%"
"12/21/2023","160.67","161.31","162.09","160.35","508.89K","-0.41%"
"12/20/2023","161.33","160.31","161.95","160.20","495.38K","0.54%"
"12/19/2023","160.47","159.73","161.47","159.62","662.62K","0.31%"
"12/18/2023","159.98","159.82","160.29","159.00","503.30K","0.00%"
"12/15/2023","159.98","159.47","161.56","158.73","1.99M","0.50%"
"12/14/2023","159.18","163.56","163.91","157.75","1.12M","-2.20%"
"12/13/2023","162.76","162.27","163.27","161.84","868.74K","0.41%"
